;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-09-16T15:30:00+02:00;31.0;31.4599;28.75;29.44;30.0684;32.1065;30.866;6.441857887;49.11833327;50.36540782;
1;2019-09-17T15:30:00+02:00;29.66;30.43;29.14;29.54;30.134;31.8975;30.497;6.275176509;30.13271009;49.05953592;
2;2019-09-18T15:30:00+02:00;29.67;29.67;28.45;29.28;30.184;31.6755;30.001;6.357889301;49.0449979;48.97804693;
3;2019-09-19T15:30:00+02:00;29.31;29.69;28.95;29.09;30.2342;31.405;29.726;6.222600552;45.10096224;48.6412846;
4;2019-09-20T15:30:00+02:00;29.09;29.53;28.3203;28.86;30.2856;31.242;29.461;5.94430292;75.21739394;49.41722977;
5;2019-09-23T15:30:00+02:00;29.1;29.1;28.63;28.88;30.3202;31.142;29.479;5.698120243;37.65026481;49.45390659;
6;2019-09-24T15:30:00+02:00;29.0;29.1;27.45;28.08;30.3258;30.935;29.415;5.830666691;51.82058213;49.05162266;
7;2019-09-25T15:30:00+02:00;28.0;28.66;27.58;28.26;30.3278;30.702;29.152;5.86111105;34.42824396;48.20925204;
8;2019-09-26T15:30:00+02:00;28.24;28.625;27.1;27.27;30.3028;30.3475;28.865;5.82988106;27.22804301;47.28570194;
9;2019-09-27T15:30:00+02:00;27.19;27.71;26.335;26.96;30.2494;29.9525;28.566;5.809792218;32.62010279;46.64255546;
10;2019-09-30T15:30:00+02:00;26.01;28.534;25.97;28.18;30.2296;29.653;28.44;5.840255836;37.57456706;45.61376532;
11;2019-10-01T15:30:00+02:00;28.1;28.87;27.5;28.14;30.1928;29.3985;28.3;5.809383064;39.63718557;45.41333769;
12;2019-10-02T15:30:00+02:00;27.85;29.45;27.115;28.92;30.1756;29.1325;28.264;6.063165976;39.75320322;44.79070548;
13;2019-10-03T15:30:00+02:00;29.3;29.94;28.26;29.92;30.1894;29.0365;28.347;5.727289008;27.3361035;42.23799884;
14;2019-10-04T15:30:00+02:00;29.61;30.68;29.55;30.6;30.2256;28.991;28.521;5.766830081;27.09274895;42.23960165;
15;2019-10-07T15:30:00+02:00;30.63;32.0334;30.4326;31.83;30.2718;29.1475;28.816;5.313225136;39.29870362;40.20880798;
16;2019-10-08T15:30:00+02:00;31.51;32.22;31.145;31.48;30.328;29.2855;29.156;5.280842761;39.67833926;40.16543796;
17;2019-10-09T15:30:00+02:00;32.13;32.44;31.09;31.23;30.3616;29.3025;29.453;5.126168409;25.63581619;38.73970541;
18;2019-10-10T15:30:00+02:00;31.28;32.12;31.1482;32.0;30.4204;29.3955;29.926;4.983251539;29.71175901;38.17593121;
19;2019-10-11T15:30:00+02:00;32.29;32.86;31.83;32.55;30.4808;29.5255;30.485;5.001515996;35.41027096;38.67451657;
20;2019-10-14T15:30:00+02:00;32.51;33.5;32.055;32.98;30.558;29.7025;30.965;4.755622893;27.9798901;37.61759441;
21;2019-10-15T15:30:00+02:00;33.25;34.3894;33.2145;34.345;30.7001;29.94275;31.5855;4.711143189;29.48719869;37.58531884;
22;2019-10-16T15:30:00+02:00;34.25;34.74;34.0436;34.51;30.8203;30.20425;32.1445;4.599012546;33.33892943;36.80001542;
23;2019-10-17T15:30:00+02:00;34.97;37.33;34.51;36.6;30.9773;30.57975;32.8125;4.879783207;89.206422;39.00528841;
24;2019-10-18T15:30:00+02:00;36.89;38.75;35.6;35.95;31.1135;30.93425;33.3475;5.108624222;135.4938043;42.01910893;
25;2019-10-21T15:30:00+02:00;36.37;36.89;35.03;36.5;31.2625;31.31525;33.8145;5.292029216;51.89452328;42.73132185;
26;2019-10-22T15:30:00+02:00;37.12;39.25;36.88;38.975;31.4568;31.86;34.564;5.312795132;78.87151743;44.08386862;
27;2019-10-23T15:30:00+02:00;38.89;40.09;38.0;39.65;31.6572;32.4295;35.406;5.392001078;65.91245018;45.65807893;
28;2019-10-24T15:30:00+02:00;38.81;38.87;36.38;36.87;31.799;32.9095;35.893;5.452856765;82.60042;48.42669778;
29;2019-10-25T15:30:00+02:00;36.9;39.41;36.899;38.55;31.9864;33.489;36.493;5.532050462;54.48123025;49.51975415;
30;2019-10-28T14:30:00+01:00;38.81;39.49;38.2826;39.26;32.1478;34.043;37.121;5.19609961;37.25731401;49.5038915;
