;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2019-08-05T15:30:00+02:00;3.92;4.05;3.62;3.75;4.1842;4.2955;4.031;7.948345445;0.13378781;0.205878228;
1;2019-08-06T15:30:00+02:00;3.9712;4.24;3.9712;4.09;4.1832;4.297;4.038;7.742227734;0.169668026;0.20866324;
2;2019-08-07T15:30:00+02:00;3.99;4.28;3.966;4.09;4.181;4.265;4.033;7.328233431;0.126415303;0.166765051;
3;2019-08-08T15:30:00+02:00;4.09;4.21;4.02;4.06;4.1796;4.231;4.035;6.854900676;0.125207105;0.137095565;
4;2019-08-09T15:30:00+02:00;4.04;4.27;3.98;4.01;4.1768;4.198;4.02;6.908800998;0.199357125;0.137251224;
5;2019-08-12T15:30:00+02:00;4.04;4.29;4.04;4.29;4.1826;4.175;4.038;6.712459812;0.077881335;0.132979158;
6;2019-08-13T15:30:00+02:00;4.29;4.37;4.136;4.36;4.1898;4.157;4.054;6.910416134;0.113759244;0.127848045;
7;2019-08-14T15:30:00+02:00;4.33;4.444;4.021;4.14;4.1914;4.133;4.069;7.284889542;0.104872885;0.103525226;
8;2019-08-15T15:30:00+02:00;4.1589;4.47;4.1004;4.37;4.1968;4.1255;4.124;7.536020739;0.034598705;0.100955081;
9;2019-08-16T15:30:00+02:00;4.22;4.4;4.03;4.39;4.2024;4.1245;4.155;7.768320441;0.05318487;0.098511034;
10;2019-08-19T15:30:00+02:00;4.32;4.401;4.25;4.25;4.205;4.118;4.205;7.740488048;0.054795434;0.097259095;
11;2019-08-20T15:30:00+02:00;4.2669;4.46;4.07;4.2336;4.205672;4.12868;4.21936;7.501941836;0.07623261;0.093683156;
12;2019-08-21T15:30:00+02:00;4.211;4.3475;4.1304;4.19;4.205472;4.13118;4.22936;7.499597797;0.062181158;0.091431902;
13;2019-08-22T15:30:00+02:00;4.17;4.17;3.91;4.0499;4.20407;4.131675;4.22835;7.571334214;0.41969136;0.104986865;
14;2019-08-23T15:30:00+02:00;4.09;4.17;3.9496;4.09;4.20207;4.128175;4.23635;7.523473297;0.112310307;0.108187538;
15;2019-08-26T15:30:00+02:00;4.03;4.16;3.94;4.05;4.20187;4.125175;4.21235;7.334680818;0.21559365;0.11642487;
16;2019-08-27T15:30:00+02:00;4.1;4.1;3.95;3.98;4.20027;4.114175;4.17435;7.403195013;0.175469875;0.123756378;
17;2019-08-28T15:30:00+02:00;3.9632;4.0;3.87;3.87;4.19287;4.108175;4.14735;6.999725098;0.107177595;0.124480545;
18;2019-08-29T15:30:00+02:00;3.99;4.2727;3.8712;4.25;4.19587;4.129675;4.13535;6.940870329;0.219241932;0.1299697;
19;2019-08-30T15:30:00+02:00;4.3;4.35;4.11;4.18;4.19847;4.134675;4.11435;6.935515761;0.10832607;0.13448762;
20;2019-09-03T15:30:00+02:00;4.16;4.4;4.16;4.37;4.18387;4.165675;4.12635;6.630054648;0.11237996;0.133417227;
21;2019-09-04T15:30:00+02:00;4.5;4.7668;4.39;4.63;4.19247;4.192675;4.16599;6.720775079;0.280445314;0.138956092;
22;2019-09-05T15:30:00+02:00;4.63;4.87;4.56;4.83;4.21007;4.229675;4.22999;6.664822508;0.24738662;0.145004658;
23;2019-09-06T15:30:00+02:00;4.9461;4.9461;4.73;4.74;4.23307;4.263675;4.299;6.656939618;0.062623719;0.141875488;
24;2019-09-09T15:30:00+02:00;4.99;5.186;4.91;5.06;4.26027;4.316175;4.396;6.573677073;1.271687112;0.195491988;
25;2019-09-10T15:30:00+02:00;5.8;5.84;5.35;5.45;4.29327;4.374175;4.536;6.722215058;4.146986025;0.398947222;
26;2019-09-11T15:30:00+02:00;5.3;5.77;5.25;5.58;4.32467;4.435175;4.696;6.934571142;1.53284894;0.469901707;
27;2019-09-12T15:30:00+02:00;5.64;5.68;5.25;5.3;4.35047;4.493175;4.839;6.818106391;0.32851208;0.481083667;
28;2019-09-13T15:30:00+02:00;5.39;5.515;5.25;5.44;4.37647;4.546675;4.958;6.619799606;0.558245988;0.507266031;
29;2019-09-16T15:30:00+02:00;5.57;5.6;5.365;5.44;4.39947;4.599175;5.084;6.379754649;0.318396188;0.520526597;
30;2019-09-17T15:30:00+02:00;5.4418;5.4418;5.25;5.31;4.42007;4.652175;5.178;6.384774257;0.437572607;0.539665455;
31;2019-09-18T15:30:00+02:00;5.28;5.35;5.0;5.31;4.44507;4.705995;5.246;6.255658778;0.29537865;0.550622757;
32;2019-09-19T15:30:00+02:00;5.36;5.5;5.26;5.32;4.45687;4.762495;5.295;6.220988184;0.48677702;0.571852551;
33;2019-09-20T15:30:00+02:00;5.26;5.47;5.26;5.45;4.47107;4.8325;5.366;6.088127137;0.298009655;0.565768465;
34;2019-09-23T15:30:00+02:00;5.44;5.63;5.42;5.5;4.48767;4.903;5.41;6.002838478;0.16463395;0.568384647;
35;2019-09-24T15:30:00+02:00;5.559;5.559;5.11;5.21;4.49687;4.961;5.386;6.162985299;0.409444213;0.578077176;
36;2019-09-25T15:30:00+02:00;5.22;5.2649;5.14;5.21;4.50667;5.0225;5.349;6.094609936;0.160136613;0.577310512;
37;2019-09-26T15:30:00+02:00;5.2;5.21;4.83;4.85;4.51127;5.0715;5.304;6.32002602;0.43999798;0.593951532;
