;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-11-20T15:30:00+01:00;1.5816;1.5816;1.4524;1.5292;2.498304;2.03728;1.52712;11.65700929;1.038157433;0.644263603;
1;2020-11-23T15:30:00+01:00;1.52;1.7464;1.52;1.7464;2.476424;1.9886;1.54436;12.17371583;1.57126579;0.719232522;
2;2020-11-24T15:30:00+01:00;1.78;1.8664;1.6;1.6992;2.454168;1.93624;1.551;12.85845463;1.318479904;0.778712561;
3;2020-11-25T15:30:00+01:00;1.71;1.776;1.64;1.7352;2.431352;1.8916;1.56584;13.06773576;1.658768608;0.848995815;
4;2020-11-27T15:30:00+01:00;1.744;1.76;1.6004;1.656;2.405624;1.84504;1.57032;13.1418328;0.481078224;0.862816852;
5;2020-11-30T15:30:00+01:00;1.64;1.752;1.564;1.68;2.383136;1.80504;1.58064;13.33610153;0.773723938;0.886220236;
6;2020-12-01T15:30:00+01:00;1.6852;1.729996;1.582;1.652;2.360088;1.76122;1.59784;13.50019065;0.698435372;0.909651574;
7;2020-12-02T15:30:00+01:00;1.64;1.676;1.5828;1.676;2.338088;1.71602;1.62464;13.61280174;0.456790884;0.926494818;
8;2020-12-03T15:30:00+01:00;1.67;1.7996;1.64;1.6684;2.317576;1.66922;1.65512;13.7505499;0.997974143;0.970338499;
9;2020-12-04T15:30:00+01:00;1.68;1.7488;1.6448;1.6948;2.299328;1.61996;1.67372;13.80732276;0.570793339;0.993037841;
10;2020-12-07T15:30:00+01:00;1.7344;1.7344;1.632;1.6844;2.280128;1.60818;1.68924;11.71118317;0.535860186;0.915053416;
11;2020-12-08T15:30:00+01:00;1.7;1.74;1.6632;1.7312;2.261312;1.61604;1.68772;9.016305829;0.562731031;0.807682028;
12;2020-12-09T15:30:00+01:00;1.7208;1.96;1.692;1.8308;2.244344;1.62594;1.70088;9.423747422;2.505060184;0.888833943;
13;2020-12-10T15:30:00+01:00;1.8312;1.84;1.7064;1.7776;2.22664;1.63548;1.70512;9.29346445;0.827887575;0.891468058;
14;2020-12-11T15:30:00+01:00;1.84;1.8464;1.7208;1.8248;2.211136;1.64616;1.722;9.416103294;0.478613008;0.896651961;
15;2020-12-14T15:30:00+01:00;1.8;1.8244;1.7;1.72;2.192408;1.65332;1.726;9.531985647;0.686373376;0.9010756;
16;2020-12-15T15:30:00+01:00;1.7196;1.7396;1.44;1.5524;2.168576;1.65694;1.71604;9.964528618;1.689070292;0.959692135;
17;2020-12-16T15:30:00+01:00;1.6;1.6;1.468;1.5032;2.14264;1.6617;1.69876;9.91705245;0.619562658;0.942962621;
18;2020-12-17T15:30:00+01:00;1.512;1.5956;1.446;1.594;2.118168;1.67322;1.69132;10.06866988;0.559981372;0.937972384;
19;2020-12-18T15:30:00+01:00;1.6036;1.64;1.462;1.462;2.0894;1.67088;1.66804;10.17597574;0.817600344;0.942410383;
20;2020-12-21T15:30:00+01:00;1.4804;1.4804;1.413924;1.4228;2.057704;1.66556;1.64188;9.966270969;0.827575508;0.931881287;
21;2020-12-22T15:30:00+01:00;1.4244;1.44;1.324;1.36;2.023008;1.64624;1.60476;9.659600592;1.463355576;0.926485776;
22;2020-12-23T15:30:00+01:00;1.4;1.5908;1.3712;1.5;1.992064;1.63628;1.57168;9.627859052;9.528253422;1.336974452;
23;2020-12-24T15:30:00+01:00;1.5764;1.64;1.404;1.544;1.963912;1.62672;1.54832;10.05368075;4.280151658;1.468043605;
24;2020-12-28T15:30:00+01:00;1.48;1.5424;1.456;1.456;1.936024;1.61672;1.51144;9.851758699;1.911695885;1.539574488;
25;2020-12-29T15:30:00+01:00;1.48;1.48;1.3604;1.43;1.906648;1.60422;1.48244;9.690312276;2.163301187;1.60905335;
26;2020-12-30T15:30:00+01:00;1.4212;1.5948;1.42;1.5088;1.879704;1.59706;1.47808;9.83805555;3.250920643;1.736677614;
27;2020-12-31T15:30:00+01:00;1.504;1.678;1.364;1.4304;1.851336;1.58478;1.4708;10.69466698;9.968994477;2.212287793;
28;2021-01-04T15:30:00+01:00;1.5348;1.8512;1.488;1.76;1.832776;1.58936;1.4874;11.42851172;13.11628911;2.818203542;
29;2021-01-05T15:30:00+01:00;1.758;2.046;1.6408;1.896;1.814696;1.59942;1.5308;12.34712739;8.820348248;3.230681287;
30;2021-01-06T15:30:00+01:00;1.9716;2.2132;1.92;2.01;1.79904;1.6157;1.58952;12.79694357;9.609997923;3.684388174;
31;2021-01-07T15:30:00+01:00;2.0536;2.074;1.844;1.9736;1.784112;1.62782;1.65088;13.18970759;3.399072654;3.826205255;
32;2021-01-08T15:30:00+01:00;1.92;2.256;1.88;2.156;1.772304;1.64408;1.71648;13.39774542;8.386168076;4.12026065;
33;2021-01-11T15:30:00+01:00;2.192;2.44;2.1644;2.3996;1.767736;1.67518;1.80204;13.64294405;10.92081491;4.624907017;
