;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2018-04-17T15:30:00+02:00;7.05;7.05;6.84;6.88;6.626;6.716;6.852;3.086293619;8.166243525;6.81245169;
1;2018-04-18T15:30:00+02:00;7.03;7.115;6.99;7.08;6.6304;6.747;6.886;3.008391891;12.28216148;6.996747395;
2;2018-04-19T15:30:00+02:00;7.05;7.13;6.96;7.03;6.6264;6.7585;6.899;2.867360433;4.37866476;6.749702022;
3;2018-04-20T15:30:00+02:00;7.37;7.8247;7.36;7.76;6.6398;6.817;6.991;3.015370441;34.47262482;8.108998853;
4;2018-04-23T15:30:00+02:00;7.81;7.83;7.42;7.78;6.6564;6.8795;7.099;3.076597001;10.68092463;8.242211347;
5;2018-04-24T15:30:00+02:00;7.75;8.0866;7.58;7.63;6.6696;6.9395;7.176;3.230232115;14.73658362;8.590299797;
6;2018-04-25T15:30:00+02:00;7.66;7.815;7.61;7.72;6.6832;7.007;7.268;3.191967336;7.338544013;8.639044368;
7;2018-04-26T15:30:00+02:00;7.81;7.84;7.62;7.67;6.696;7.071;7.345;3.217840879;5.88456299;8.611819658;
8;2018-04-27T15:30:00+02:00;7.61;7.72;7.6;7.68;6.7056;7.121;7.428;3.088454914;3.6409129;8.376256715;
9;2018-04-30T15:30:00+02:00;7.7;7.72;7.54;7.69;6.7142;7.171;7.492;3.109034115;5.80905472;8.37317156;
10;2018-05-01T15:30:00+02:00;7.7;8.095;7.67;8.04;6.7312;7.23;7.608;3.221416911;24.38172335;9.210559574;
11;2018-05-02T15:30:00+02:00;8.05;8.34;8.02;8.26;6.7556;7.306;7.726;3.32332056;16.01816598;9.750677753;
12;2018-05-03T15:30:00+02:00;8.2;8.4217;8.05;8.14;6.7798;7.368;7.837;3.390742874;27.49667002;10.76040984;
13;2018-05-04T15:30:00+02:00;8.14;8.28;8.05;8.19;6.81;7.4355;7.88;3.392484775;12.47223346;11.07144879;
14;2018-05-07T15:30:00+02:00;8.26;8.64;8.25;8.6;6.8468;7.5305;7.962;3.457206621;21.23215721;11.85051765;
15;2018-05-08T15:30:00+02:00;8.62;8.83;8.6;8.78;6.8866;7.6265;8.077;3.464439456;16.67094965;12.40599378;
16;2018-05-09T15:30:00+02:00;8.82;8.855;8.6136;8.84;6.9292;7.7285;8.189;3.541275557;14.66842709;12.90848095;
17;2018-05-10T15:30:00+02:00;8.84;9.05;8.8;9.0;6.9862;7.8335;8.322;3.553595289;16.87894215;13.44537926;
18;2018-05-11T15:30:00+02:00;9.02;9.23;8.98;9.22;7.047;7.952;8.476;3.604558213;15.58613021;14.01860589;
19;2018-05-14T15:30:00+02:00;9.25;9.3;9.05;9.06;7.1062;8.0525;8.613;3.548408132;14.8411864;14.38184315;
20;2018-05-15T15:30:00+02:00;9.0;9.17;8.96;9.04;7.1652;8.1605;8.713;3.51208686;9.360908795;14.44157641;
21;2018-05-16T15:30:00+02:00;9.03;9.04;8.47;8.53;7.2186;8.233;8.74;3.759155112;24.25850283;15.04039348;
22;2018-05-17T15:30:00+02:00;8.57;8.77;8.565;8.62;7.274;8.3125;8.788;3.756701764;11.34780303;15.38885039;
23;2018-05-18T15:30:00+02:00;8.58;8.67;8.52;8.64;7.3288;8.3565;8.833;3.529036998;6.90905637;14.01067197;
24;2018-05-21T15:30:00+02:00;8.71;8.99;8.65;8.96;7.3932;8.4155;8.869;3.449288466;8.81199144;13.91722531;
25;2018-05-22T15:30:00+02:00;8.95;9.17;8.86;9.1;7.462;8.489;8.901;3.290063168;17.18369885;14.03958107;
26;2018-05-23T15:30:00+02:00;9.11;9.2101;8.875;8.99;7.5312;8.5525;8.916;3.344160704;13.02941934;14.32412484;
27;2018-05-24T15:30:00+02:00;8.97;9.07;8.8699;8.93;7.5844;8.6155;8.909;3.312600962;8.354127053;14.44760304;
28;2018-05-25T15:30:00+02:00;8.87;8.89;8.31;8.31;7.6184;8.647;8.818;3.582630729;15.9327384;15.06219432;
29;2018-05-29T15:30:00+02:00;8.18;8.58;8.1;8.45;7.6502;8.685;8.757;3.75956363;11.0836932;15.32592624;
30;2018-05-30T15:30:00+02:00;8.5;8.84;8.455;8.8;7.6972;8.723;8.733;3.710186107;10.74916246;14.6442982;
31;2018-05-31T15:30:00+02:00;8.94;8.99;8.65;8.78;7.7436;8.749;8.758;3.707216652;7.72965396;14.22987259;
32;2018-06-01T15:30:00+02:00;8.8;8.96;8.74;8.95;7.7866;8.7895;8.791;3.60220521;13.8748884;13.54878351;
33;2018-06-04T15:30:00+02:00;8.94;8.98;8.8;8.96;7.834;8.828;8.823;3.561620795;7.10725274;13.28053448;
34;2018-06-05T15:30:00+02:00;8.98;9.0;8.89;8.96;7.8826;8.846;8.823;3.387124425;7.393784935;12.58861586;
35;2018-06-06T15:30:00+02:00;9.0;9.0;8.69;8.73;7.9286;8.8435;8.786;3.431769433;10.82757137;12.29644695;
36;2018-06-07T15:30:00+02:00;8.79;8.7999;8.605;8.69;7.975;8.836;8.756;3.404890303;6.306456656;11.87834843;
37;2018-06-08T15:30:00+02:00;8.72;8.88;8.535;8.83;8.0238;8.8275;8.746;3.464953812;34.5731897;12.76306081;
38;2018-06-11T15:30:00+02:00;8.72;9.13;8.55;9.02;8.0706;8.8175;8.817;3.66493688;19.41977388;12.95474299;
39;2018-06-12T15:30:00+02:00;9.04;9.11;8.895;8.93;8.1154;8.811;8.865;3.647669746;8.85709162;12.65553825;
40;2018-06-13T15:30:00+02:00;8.94;9.13;8.83;9.08;8.1598;8.813;8.893;3.700357671;6.49841292;12.51241346;
41;2018-06-14T15:30:00+02:00;9.04;9.235;8.77;9.15;8.208;8.844;8.93;3.628984294;17.66928777;12.1829527;
42;2018-06-15T15:30:00+02:00;9.12;9.15;8.64;8.68;8.2436;8.847;8.903;3.804450095;16.00423091;12.4157741;
43;2018-06-18T15:30:00+02:00;8.68;8.925;8.63;8.75;8.2818;8.8525;8.882;3.887337337;7.291030375;12.4348728;
44;2018-06-19T15:30:00+02:00;8.7;8.8;8.5;8.78;8.3234;8.8435;8.864;3.867276134;12.1630764;12.60242705;
45;2018-06-20T15:30:00+02:00;8.83;8.85;8.7;8.82;8.3626;8.8295;8.873;3.778539464;3.780594675;11.93227184;
46;2018-06-21T15:30:00+02:00;8.83;8.87;8.76;8.8;8.4026;8.82;8.884;3.652536119;4.13390003;11.48749587;
47;2018-06-22T15:30:00+02:00;8.89;9.14;8.8249;9.1;8.4466;8.8285;8.911;3.718267842;10.60356665;11.59996785;
48;2018-06-25T15:30:00+02:00;8.91;9.08;8.64;8.98;8.4892;8.862;8.907;3.623920335;14.89384606;11.54802324;
49;2018-06-26T15:30:00+02:00;8.98;8.99;8.8;8.89;8.526;8.884;8.903;3.435578584;4.60741431;11.22420929;
50;2018-06-27T15:30:00+02:00;8.86;9.51;8.86;9.51;8.5786;8.9195;8.946;3.574719809;23.99206502;11.88635442;entry
51;2018-06-28T15:30:00+02:00;9.4;9.75;9.29;9.73;8.6316;8.967;9.004;3.625766058;19.33538656;12.46664105;
52;2018-06-29T15:30:00+02:00;9.8;10.27;9.6298;10.18;8.6946;9.0285;9.154;3.832313592;31.40185455;13.34298936;
53;2018-07-02T15:30:00+02:00;10.17;10.2208;9.74;9.89;8.7372;9.075;9.268;3.976858113;11.7019192;13.57272268;
54;2018-07-03T15:30:00+02:00;10.05;10.47;9.93;9.98;8.7812;9.126;9.388;4.186894169;6.624237;13.53424528;
55;2018-07-05T15:30:00+02:00;10.06;10.26;9.85;10.23;8.8332;9.201;9.529;4.216650059;7.640502905;13.37489186;
56;2018-07-06T15:30:00+02:00;10.21;10.7;10.21;10.66;8.892;9.2995;9.715;4.34336277;12.37979687;13.67855887;
57;2018-07-09T15:30:00+02:00;10.62;10.72;10.33;10.55;8.9496;9.3855;9.86;4.330024378;14.89473793;12.69463628;
58;2018-07-10T15:30:00+02:00;10.57;10.61;10.0;10.05;8.997;9.437;9.967;4.295843092;11.30385334;12.28884025;
59;2018-07-11T15:30:00+02:00;9.89;10.1;9.61;10.04;9.044;9.4925;10.082;4.429931447;11.89043199;12.44050727;exit
60;2018-07-12T15:30:00+02:00;10.04;10.12;9.61;9.77;9.0786;9.527;10.108;4.525404618;10.22646346;12.6269098;
61;2018-07-13T15:30:00+02:00;9.81;10.03;9.58;9.59;9.1052;9.549;10.094;4.495160594;8.270664575;12.15697864;
62;2018-07-16T15:30:00+02:00;9.56;9.72;9.25;9.34;9.1292;9.582;10.01;4.454075759;12.09047259;11.96129072;exit
63;2018-07-17T15:30:00+02:00;9.31;9.72;9.07;9.11;9.1476;9.6;9.932;4.641484494;9.534788205;12.07347862;
64;2018-07-18T15:30:00+02:00;9.12;9.33;8.84;9.29;9.1614;9.6255;9.863;4.742163227;9.04151919;11.91740076;
65;2018-07-19T15:30:00+02:00;9.25;9.36;9.16;9.18;9.1694;9.6435;9.758;4.765126636;6.74499326;12.06562068;
66;2018-07-20T15:30:00+02:00;9.25;9.25;8.97;9.03;9.1732;9.655;9.595;4.858417056;6.70362994;12.19410718;
67;2018-07-23T15:30:00+02:00;9.01;9.08;8.79;8.8;9.1692;9.64;9.42;4.844848303;10.20813921;12.17433581;
68;2018-07-24T15:30:00+02:00;8.86;8.99;8.68;8.69;9.1586;9.6255;9.284;4.768790102;6.821530005;11.77072001;
69;2018-07-25T15:30:00+02:00;8.67;8.74;8.32;8.37;9.1448;9.5995;9.117;4.913239402;33.67184233;13.22394141;
