;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-07-21T15:30:00+02:00;1.78;1.78;1.72;1.725;1.90153;1.775575;1.71415;4.787270131;0.018438;0.059939958;
1;2017-07-24T15:30:00+02:00;1.76;1.76;1.69;1.71;1.89673;1.767075;1.70415;4.857758701;0.01757775;0.059416651;
2;2017-07-25T15:30:00+02:00;1.74;1.8;1.72;1.72;1.88873;1.760575;1.70315;4.906527962;0.02424752;0.059169925;
3;2017-07-26T15:30:00+02:00;1.7245;1.78;1.67;1.68;1.87903;1.755075;1.69815;5.096204475;0.035771325;0.059954705;
4;2017-07-27T15:30:00+02:00;1.6652;1.73;1.64;1.66;1.87063;1.746575;1.69815;5.21180351;0.013033475;0.059143345;
5;2017-07-28T15:30:00+02:00;1.61;1.73;1.58;1.67;1.86303;1.737075;1.69615;5.577197437;0.095938695;0.062675434;
6;2017-07-31T15:30:00+02:00;1.5999;1.73;1.59;1.63;1.85563;1.726075;1.69415;5.76744901;0.03984498;0.061441147;
7;2017-08-01T15:30:00+02:00;1.63;1.75;1.5999;1.7;1.84823;1.718075;1.69715;6.155895667;0.040267473;0.062981927;
8;2017-08-02T15:30:00+02:00;1.7;1.7;1.66;1.66;1.83963;1.712075;1.6945;6.022140306;0.0110376;0.061369147;
9;2017-08-03T15:30:00+02:00;1.7;1.7305;1.6623;1.72;1.83383;1.708075;1.6875;6.114283416;0.023237287;0.060450137;
10;2017-08-04T15:30:00+02:00;1.71;1.72;1.618;1.71;1.82803;1.700075;1.686;6.185122274;0.013475506;0.057310492;
11;2017-08-07T15:30:00+02:00;1.73;1.73;1.6826;1.73;1.82203;1.696075;1.688;5.937086827;0.021304862;0.053950848;
12;2017-08-08T15:30:00+02:00;1.73;1.7879;1.6101;1.7299;1.816828;1.69607;1.68899;5.980505515;0.030687338;0.044120197;
13;2017-08-09T15:30:00+02:00;1.68;1.7315;1.576;1.64;1.810228;1.69157;1.68499;5.942593079;0.01584954;0.037791948;
14;2017-08-10T15:30:00+02:00;1.73;1.73;1.6188;1.64;1.804028;1.69057;1.68299;5.923862251;0.058048099;0.033985462;
15;2017-08-11T15:30:00+02:00;1.72;1.73;1.6009;1.6799;1.798026;1.690065;1.68398;5.867813686;0.037054597;0.032386021;
16;2017-08-14T15:30:00+02:00;1.72;1.7999;1.63;1.69;1.790426;1.692065;1.68998;6.237464178;0.078131407;0.034755276;
17;2017-08-15T15:30:00+02:00;1.7;1.7899;1.67;1.68;1.783826;1.692565;1.68798;6.566325732;0.053176933;0.036853684;
18;2017-08-16T15:30:00+02:00;1.75;1.75;1.64;1.735;1.777926;1.69499;1.69548;6.811871227;0.03499158;0.037600772;
19;2017-08-17T15:30:00+02:00;1.796;1.84;1.76;1.84;1.774726;1.69749;1.70748;6.618451048;0.239517;0.045081548;
20;2017-08-18T15:30:00+02:00;1.8603;1.9346;1.8381;1.92;1.773726;1.70724;1.72848;6.706531763;0.081373366;0.048228317;
21;2017-08-21T15:30:00+02:00;1.98;1.98;1.9;1.94;1.772926;1.71874;1.74948;6.709957488;0.47969604;0.071334231;
22;2017-08-22T15:30:00+02:00;1.94;1.97;1.7982;1.92;1.771726;1.72874;1.76849;6.95509927;0.140408784;0.077142294;
23;2017-08-23T15:30:00+02:00;1.9226;1.97;1.911;1.94;1.771126;1.74174;1.79849;6.780127393;0.084431155;0.079575286;
24;2017-08-24T15:30:00+02:00;1.93;1.96;1.93;1.95;1.770926;1.75624;1.82949;6.583457356;0.031102495;0.080478737;
25;2017-08-25T15:30:00+02:00;1.97;2.0101;1.94;1.94;1.771126;1.76974;1.8555;6.289443915;0.080424036;0.079703004;
26;2017-08-28T15:30:00+02:00;1.94;2.019;1.8995;1.98;1.774526;1.78724;1.8845;6.163748805;0.098123158;0.082616913;
27;2017-08-29T15:30:00+02:00;1.96;2.01;1.91;1.99;1.776926;1.80174;1.9155;5.956437091;0.14762524;0.087984801;
28;2017-08-30T15:30:00+02:00;2.02;2.12;1.98;2.06;1.781926;1.82174;1.948;6.189490517;0.20617875;0.097741859;
29;2017-08-31T15:30:00+02:00;2.07;2.1258;2.0;2.02;1.785126;1.83674;1.966;6.298853057;0.120087598;0.102584374;
