;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-05-11T15:30:00+02:00;6.15;6.35;6.15;6.21;6.1582;6.2495;6.149;3.392182251;2.08595625;2.621591365;
1;2016-05-12T15:30:00+02:00;6.26;6.3;6.12;6.18;6.1496;6.25;6.1;3.431803058;1.63530414;2.627415305;
2;2016-05-13T15:30:00+02:00;6.19;6.28;6.1601;6.2;6.1432;6.252;6.123;3.404538189;1.498957409;2.615135497;
3;2016-05-16T15:30:00+02:00;6.18;6.33;6.18;6.25;6.1398;6.2575;6.131;3.426559664;1.88471907;2.63030142;
4;2016-05-17T15:30:00+02:00;6.25;6.25;6.08;6.12;6.1326;6.251;6.138;3.386034427;2.29635153;2.650112517;
5;2016-05-18T15:30:00+02:00;6.12;6.21;6.07;6.17;6.1292;6.239;6.154;3.349355679;1.2586386;2.637407606;
6;2016-05-19T15:30:00+02:00;6.12;6.16;6.0;6.05;6.123;6.22;6.15;3.388792299;1.04858112;2.558115084;
7;2016-05-20T15:30:00+02:00;6.06;6.23;6.0201;6.22;6.1264;6.2075;6.166;3.465697048;1.489128281;2.546211201;
8;2016-05-23T15:30:00+02:00;6.15;6.22;6.1;6.13;6.1212;6.194;6.172;3.192156877;1.70565472;2.502659402;
9;2016-05-24T15:30:00+02:00;6.2;6.35;6.16;6.34;6.1248;6.188;6.187;3.24433684;2.966490045;2.586478178;
10;2016-05-25T15:30:00+02:00;6.31;6.44;6.27;6.35;6.1326;6.175;6.201;3.233523983;1.689279745;2.549098264;
11;2016-05-26T15:30:00+02:00;6.36;6.38;6.28;6.32;6.1382;6.1575;6.215;3.149269867;1.44363246;2.361014691;
12;2016-05-27T15:30:00+02:00;6.3;6.4;6.24;6.37;6.143;6.1775;6.232;2.800473291;1.15967576;2.121236389;
13;2016-05-31T15:30:00+02:00;6.4;6.46;6.37;6.46;6.1496;6.192;6.253;2.616879645;2.24156779;1.995021311;
14;2016-06-01T15:30:00+02:00;6.4;6.65;6.39;6.64;6.1602;6.2215;6.305;2.587072525;2.48447208;1.917859467;
15;2016-06-02T15:30:00+02:00;6.56;6.75;6.56;6.75;6.1746;6.2585;6.363;2.55541901;2.162402495;1.867925018;
16;2016-06-03T15:30:00+02:00;6.73;6.73;6.6;6.67;6.19;6.2875;6.425;2.562237191;1.5564108;1.844983395;
17;2016-06-06T15:30:00+02:00;6.67;6.8;6.66;6.76;6.2078;6.3225;6.479;2.540866749;2.21032044;1.865665218;
18;2016-06-07T15:30:00+02:00;6.73;6.83;6.705;6.8;6.2266;6.359;6.546;2.52592769;2.44509775;1.877534925;
19;2016-06-08T15:30:00+02:00;6.8;6.96;6.7646;6.92;6.2444;6.3955;6.604;2.547235892;2.558306614;1.891047355;
20;2016-06-09T15:30:00+02:00;6.9;6.91;6.81;6.87;6.2606;6.4285;6.656;2.458055705;1.32750604;1.853124844;
21;2016-06-10T15:30:00+02:00;6.76;6.94;6.76;6.81;6.2784;6.46;6.705;2.444132976;2.6861042;1.905664847;
22;2016-06-13T15:30:00+02:00;6.79;6.83;6.64;6.66;6.289;6.483;6.734;2.489885416;1.33072824;1.897253389;
23;2016-06-14T15:30:00+02:00;6.62;6.69;6.46;6.49;6.2986;6.495;6.737;2.546544769;1.802371875;1.893136029;
24;2016-06-15T15:30:00+02:00;6.52;6.72;6.49;6.57;6.3118;6.5175;6.73;2.583937823;2.00139426;1.878388166;
25;2016-06-16T15:30:00+02:00;6.53;6.6;6.44;6.56;6.3218;6.537;6.711;2.592840174;1.35176552;1.883044512;
26;2016-06-17T15:30:00+02:00;6.51;6.59;6.43;6.51;6.3346;6.56;6.695;2.583923636;2.68878624;1.965054768;
27;2016-06-20T15:30:00+02:00;6.64;6.78;6.61;6.61;6.352;6.5795;6.68;2.538184025;1.748191705;1.978007939;
28;2016-06-21T15:30:00+02:00;6.65;6.71;6.51;6.57;6.3676;6.6015;6.657;2.5934332;1.49233309;1.967341857;
29;2016-06-22T15:30:00+02:00;6.57;6.63;6.49;6.49;6.3804;6.609;6.614;2.547070665;1.04620192;1.871327451;
30;2016-06-23T15:30:00+02:00;6.6;6.66;6.53;6.62;6.389;6.6225;6.589;2.511045058;1.608566665;1.867291797;
31;2016-06-24T15:30:00+02:00;6.34;6.4;6.25;6.34;6.3924;6.6235;6.542;2.551427224;8.54566955;2.222393652;
32;2016-06-27T15:30:00+02:00;6.21;6.261;6.05;6.07;6.3906;6.6085;6.483;2.597602261;3.133629629;2.321091345;
33;2016-06-28T15:30:00+02:00;6.16;6.29;6.12;6.2;6.3918;6.5955;6.454;2.665847508;2.568503905;2.337438151;
34;2016-06-29T15:30:00+02:00;6.25;6.39;6.23;6.36;6.394;6.5815;6.433;2.590815543;1.94154283;2.310291688;
35;2016-06-30T15:30:00+02:00;6.38;6.48;6.355;6.47;6.3952;6.5675;6.424;2.544346228;1.88171368;2.296257248;
36;2016-07-01T15:30:00+02:00;6.5;6.6;6.47;6.58;6.3982;6.563;6.431;2.546325058;1.87491764;2.31218259;
37;2016-07-05T15:30:00+02:00;6.58;6.64;6.45;6.52;6.3992;6.551;6.422;2.588506774;1.81304354;2.292318745;
38;2016-07-06T15:30:00+02:00;6.41;6.63;6.34;6.58;6.4028;6.54;6.423;2.72399938;1.40191433;2.240159574;
39;2016-07-07T15:30:00+02:00;6.51;6.766;6.51;6.74;6.4084;6.531;6.448;2.776191616;2.138186094;2.219153548;
40;2016-07-08T15:30:00+02:00;6.78;6.99;6.75;6.93;6.4148;6.534;6.479;2.880547954;3.18602433;2.312079462;
41;2016-07-11T15:30:00+02:00;6.94;7.06;6.94;7.03;6.422;6.545;6.548;2.833867191;2.320514;2.293799952;
