;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2018-02-28T15:30:00+01:00;1.45;1.46;1.37;1.37;1.7442;1.544;1.405;6.731914528;0.532867775;1.02405547;
1;2018-03-01T15:30:00+01:00;1.38;1.39;1.34;1.34;1.7376;1.5235;1.398;6.717044911;0.568638525;0.987424714;
2;2018-03-02T15:30:00+01:00;1.34;1.36;1.29;1.36;1.729;1.5035;1.388;6.84385407;1.243845075;1.014396926;
3;2018-03-05T15:30:00+01:00;1.36;1.55;1.36;1.52;1.7222;1.493;1.396;7.204148188;0.86512845;0.983387989;
4;2018-03-06T15:30:00+01:00;1.54;1.56;1.47;1.53;1.7166;1.4865;1.411;7.223261573;0.553603725;0.960655107;
5;2018-03-07T15:30:00+01:00;1.53;1.65;1.49;1.61;1.7114;1.4815;1.433;7.485784081;0.93562737;0.952778445;
6;2018-03-08T15:30:00+01:00;1.64;1.66;1.51;1.53;1.7038;1.4735;1.448;7.782171618;0.81937209;0.949145321;
7;2018-03-09T15:30:00+01:00;1.53;1.57;1.47;1.56;1.6962;1.4695;1.464;7.908893038;0.54917752;0.926662146;
8;2018-03-12T14:30:00+01:00;1.55;1.61;1.53;1.56;1.69;1.4655;1.482;7.718718043;0.46790396;0.878922982;
9;2018-03-13T14:30:00+01:00;1.78;1.9;1.73;1.84;1.6894;1.4755;1.522;7.99399814;4.459899675;1.07121002;
10;2018-03-14T14:30:00+01:00;1.95;2.05;1.9;1.92;1.6916;1.491;1.577;8.198861565;3.5559638;1.209741115;
11;2018-03-15T14:30:00+01:00;1.93;1.94;1.82;1.83;1.692;1.512;1.626;7.341608817;1.6725608;1.105889815;
12;2018-03-16T14:30:00+01:00;1.82;1.8757;1.79;1.86;1.6928;1.532;1.676;7.176582528;1.407331878;1.118788095;
13;2018-03-19T14:30:00+01:00;1.86;1.92;1.75;1.89;1.6936;1.5545;1.713;7.451029208;1.143537135;1.140344686;
14;2018-03-20T14:30:00+01:00;1.9;1.94;1.86;1.9;1.6934;1.5805;1.75;7.248789738;1.0252571;1.138894808;
15;2018-03-21T14:30:00+01:00;1.91;2.03;1.8725;1.98;1.6924;1.61;1.787;7.218222666;1.210379888;1.171980276;
16;2018-03-22T14:30:00+01:00;1.98;1.98;1.87;1.94;1.6922;1.638;1.828;7.256865861;1.957207175;1.250845246;
17;2018-03-23T14:30:00+01:00;1.93;1.98;1.88;1.88;1.6912;1.662;1.86;7.302235072;1.07469541;1.286628375;
18;2018-03-26T15:30:00+02:00;1.91;1.94;1.85;1.92;1.6904;1.689;1.896;7.172343987;0.83288282;1.278084481;
19;2018-03-27T15:30:00+02:00;1.94;1.94;1.85;1.86;1.6886;1.71;1.898;7.049191968;0.49506875;1.268547446;
20;2018-03-28T15:30:00+02:00;1.85;1.89;1.8;1.83;1.6858;1.733;1.889;6.970724814;0.55974717;1.269891416;
