;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-10-26T15:30:00+02:00;14.15;14.3;13.3;13.55;15.115;15.2675;14.42;4.897846945;3.8347992;2.412480105;
1;2017-10-27T15:30:00+02:00;13.55;13.9;13.4;13.6;15.114;15.12;14.33;4.896914109;1.3937469;2.312882985;
2;2017-10-30T14:30:00+01:00;13.45;14.85;13.45;14.15;15.13;14.9625;14.29;5.110611739;2.67413775;2.197004873;
3;2017-10-31T14:30:00+01:00;14.25;14.6305;14.0;14.2;15.149;14.84;14.255;5.079766214;2.107634258;2.18503922;
4;2017-11-01T14:30:00+01:00;14.4;14.775;13.8;14.1;15.158;14.6975;14.235;5.174668421;4.496133375;2.320233732;
5;2017-11-02T14:30:00+01:00;14.05;14.45;13.571;14.25;15.173;14.5625;14.225;5.242496657;1.766766082;2.314375265;
6;2017-11-03T14:30:00+01:00;14.4;15.6;14.25;15.55;15.208;14.53;14.32;5.401715459;2.3202405;2.26721221;
7;2017-11-06T15:30:00+01:00;15.65;16.4;15.6;16.15;15.254;14.5675;14.475;5.372178003;3.110224;2.305783555;
8;2017-11-07T15:30:00+01:00;16.15;16.2;15.1;15.1;15.266;14.5625;14.485;5.535747517;2.2746649;2.300382275;
9;2017-11-08T15:30:00+01:00;15.05;15.2;14.25;14.35;15.253;14.5225;14.5;5.719579189;2.01588195;2.323686298;
10;2017-11-09T15:30:00+01:00;14.2;14.5;13.2;13.2;15.223;14.4425;14.465;5.988635734;4.4053803;2.356578657;
11;2017-11-10T15:30:00+01:00;13.1;13.75;12.65;13.45;15.177;14.39;14.45;6.213628133;4.3144596;2.442512017;
12;2017-11-13T15:30:00+01:00;13.3;14.195;13.0;13.55;15.143;14.34;14.39;6.394497873;2.112765953;2.470109539;
13;2017-11-14T15:30:00+01:00;13.55;13.8;13.15;13.65;15.115;14.295;14.335;6.503237858;1.5908046;2.482193844;
14;2017-11-15T15:30:00+01:00;13.55;14.15;13.25;14.0;15.093;14.28;14.325;6.630846365;2.0396971;2.515276042;
15;2017-11-16T15:30:00+01:00;14.2;14.55;14.0;14.5;15.082;14.2875;14.35;6.588529417;1.775253275;2.514588248;
16;2017-11-17T15:30:00+01:00;14.55;15.05;14.1;14.6;15.078;14.2875;14.255;6.766958145;2.414654825;2.572438808;
17;2017-11-20T15:30:00+01:00;14.65;14.8;14.15;14.65;15.079;14.29;14.105;6.713797836;1.4160024;2.50850189;
18;2017-11-21T15:30:00+01:00;14.75;15.05;14.45;14.5;15.066;14.265;14.045;6.660993626;1.6173965;2.506744743;
19;2017-11-22T15:30:00+01:00;14.45;14.6;14.15;14.35;15.045;14.2725;14.045;6.516117301;1.547785;2.461421423;
