;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-08-07T15:30:00+02:00;25.13;26.059;25.07;25.95;30.041;29.338;27.863;2.845646409;4.970940332;4.203917312;
1;2017-08-08T15:30:00+02:00;25.86;26.63;25.75;25.76;29.9386;29.0635;27.441;2.895327926;6.78855276;4.424641055;
2;2017-08-09T15:30:00+02:00;25.76;25.82;25.51;25.71;29.8388;28.777;27.028;2.87427898;5.20547796;4.570554664;
3;2017-08-10T15:30:00+02:00;25.56;25.85;25.15;25.48;29.7364;28.4955;26.62;2.902874884;11.1673935;5.062376194;
4;2017-08-11T15:30:00+02:00;25.53;26.27;25.45;26.16;29.6418;28.254;26.266;3.005741499;6.21995064;5.300214293;
5;2017-08-14T15:30:00+02:00;26.21;26.64;26.11;26.43;29.551;28.023;25.984;2.976312689;4.557309875;5.383817867;
6;2017-08-15T15:30:00+02:00;26.5;26.56;26.25;26.45;29.468;27.8115;25.75;2.943406286;3.647401865;5.479136017;
7;2017-08-16T15:30:00+02:00;26.49;26.7299;26.03;26.1;29.3796;27.5885;25.843;2.967830895;4.053754157;5.499305616;
8;2017-08-17T15:30:00+02:00;26.0;26.33;25.95;26.14;29.292;27.3635;25.931;2.973967469;12.22191384;6.019078482;
9;2017-08-18T15:30:00+02:00;26.0;26.43;26.0;26.18;29.2004;27.1445;26.036;2.997507625;4.64445912;6.10630646;
10;2017-08-21T15:30:00+02:00;26.15;26.25;26.04;26.16;29.108;26.96;26.057;2.90841844;6.74493939;6.289816713;
11;2017-08-22T15:30:00+02:00;26.18;26.45;26.13;26.22;29.0156;26.772;26.103;2.851119856;3.36241213;6.255730238;
12;2017-08-23T15:30:00+02:00;26.06;26.21;25.98;26.0;28.913;26.58;26.132;2.814847762;5.217095065;6.322020417;
13;2017-08-24T15:30:00+02:00;26.1;26.4;25.99;26.07;28.8188;26.4055;26.191;2.801147389;4.29598;6.359064591;
14;2017-08-25T15:30:00+02:00;26.06;26.21;25.99;26.15;28.7264;26.228;26.19;2.722987156;1.7208252;6.325421782;
15;2017-08-28T15:30:00+02:00;26.15;26.18;25.98;26.09;28.639;26.07;26.156;2.662951915;3.18653264;6.251563246;
16;2017-08-29T15:30:00+02:00;26.0;26.225;25.95;26.12;28.5502;25.9365;26.123;2.537366999;4.538677163;6.065406619;
17;2017-08-30T15:30:00+02:00;26.14;26.4;25.98;26.33;28.471;25.9945;26.146;1.793563752;3.70826829;5.561526133;
18;2017-08-31T15:30:00+02:00;26.39;26.48;26.11;26.29;28.4004;26.046;26.161;1.738165326;2.58895311;5.292840339;
19;2017-09-01T15:30:00+02:00;26.29;26.35;26.0;26.17;28.3262;26.098;26.16;1.75753055;2.2506312;5.054573412;
20;2017-09-05T15:30:00+02:00;26.17;26.26;25.99;26.22;28.256;26.1115;26.166;1.612225898;4.124223125;5.012237551;
21;2017-09-06T15:30:00+02:00;26.29;26.89;26.09;26.88;28.1976;26.1675;26.232;1.594667558;5.63209188;4.954414507;
22;2017-09-07T15:30:00+02:00;26.92;26.92;26.4;26.84;28.1362;26.224;26.316;1.632391921;4.0375237;4.896016794;
23;2017-09-08T15:30:00+02:00;26.79;26.84;26.39;26.51;28.0618;26.2755;26.36;1.578486479;5.569002445;4.616097242;
24;2017-09-11T15:30:00+02:00;26.75;27.55;26.51;27.52;28.0024;26.3435;26.497;1.613538678;5.18027247;4.564113333;
25;2017-09-12T15:30:00+02:00;27.54;28.29;27.45;28.28;27.9586;26.436;26.716;1.665050462;5.14056576;4.593276127;
26;2017-09-13T15:30:00+02:00;28.29;28.52;28.06;28.25;27.9094;26.526;26.929;1.687970056;4.86582342;4.654197205;
27;2017-09-14T15:30:00+02:00;28.25;28.515;28.0;28.5;27.8672;26.646;27.146;1.645493312;5.368868485;4.719952922;
28;2017-09-15T15:30:00+02:00;28.57;29.38;28.25;28.56;27.8302;26.767;27.373;1.772275585;11.13330918;4.665522689;
29;2017-09-18T15:30:00+02:00;28.58;28.97;28.55;28.91;27.7952;26.9035;27.647;1.763138444;3.75208712;4.620904089;
30;2017-09-19T15:30:00+02:00;29.0;29.0;28.53;28.79;27.7606;27.035;27.904;1.805185299;3.482204605;4.457767349;
31;2017-09-20T15:30:00+02:00;28.9;29.17;28.64;28.98;27.7152;27.173;28.114;1.836480932;3.72036255;4.47566487;
32;2017-09-21T15:30:00+02:00;28.97;29.11;28.92;29.02;27.6668;27.324;28.332;1.825065352;2.92262292;4.360941263;
33;2017-09-22T15:30:00+02:00;29.06;29.17;28.81;29.1;27.6266;27.4755;28.591;1.808667167;3.20936694;4.30661061;
34;2017-09-25T15:30:00+02:00;29.12;29.18;28.42;28.51;27.577;27.5935;28.69;1.900051853;3.2405184;4.38259527;
35;2017-09-26T15:30:00+02:00;28.54;29.07;28.1196;29.01;27.5362;27.7395;28.763;2.030553152;6.34166896;4.540352086;
36;2017-09-27T15:30:00+02:00;29.02;30.0825;29.02;29.98;27.5222;27.9325;28.936;2.160630044;4.958788404;4.561357648;
37;2017-09-28T15:30:00+02:00;29.95;30.37;29.7;29.92;27.5094;28.112;29.078;2.192593248;4.85047229;4.618467848;
38;2017-09-29T15:30:00+02:00;29.94;30.13;29.72;29.75;27.4916;28.285;29.197;2.190716289;2.80606725;4.629323555;
39;2017-10-02T15:30:00+02:00;29.74;30.17;29.6496;30.15;27.4834;28.484;29.321;2.211166948;3.586633667;4.696123679;
40;2017-10-03T15:30:00+02:00;30.21;30.37;29.92;30.34;27.4932;28.69;29.476;2.234424427;2.390227195;4.609423882;
41;2017-10-04T15:30:00+02:00;30.33;30.75;30.21;30.72;27.508;28.882;29.65;2.17048336;3.20381376;4.488009976;
42;2017-10-05T15:30:00+02:00;30.91;31.79;30.87;31.72;27.5456;29.126;29.92;2.221010497;5.67098064;4.569682823;
43;2017-10-06T15:30:00+02:00;31.57;31.63;31.2;31.24;27.5792;29.3625;30.134;2.204661186;2.47305163;4.414885282;
44;2017-10-09T15:30:00+02:00;31.45;31.5;30.89;30.94;27.604;29.5335;30.377;2.107246246;2.36345798;4.274044558;
45;2017-10-10T15:30:00+02:00;30.94;31.24;30.56;30.91;27.6372;29.665;30.567;2.065497326;2.6872185;4.151377195;
46;2017-10-11T15:30:00+02:00;30.9;31.18;30.6;30.78;27.677;29.7915;30.647;2.078301355;3.20069824;4.068120936;
47;2017-10-12T15:30:00+02:00;30.75;31.12;30.65;31.01;27.7938;29.917;30.756;2.063009173;2.0365569;3.901505357;
48;2017-10-13T15:30:00+02:00;31.15;31.15;30.79;30.86;27.9058;30.032;30.867;1.921469712;2.03572004;3.4466259;
49;2017-10-16T15:30:00+02:00;30.94;31.18;30.71;31.01;28.0234;30.137;30.953;1.924436852;2.818934775;3.399968282;
50;2017-10-17T15:30:00+02:00;31.39;33.14;31.25;32.7;28.1584;30.3325;31.189;2.144467416;7.826636695;3.617189887;entry
51;2017-10-18T15:30:00+02:00;32.7;33.45;32.7;33.44;28.312;30.5555;31.461;2.166618382;6.506547075;3.756499113;
52;2017-10-19T15:30:00+02:00;33.37;33.37;32.58;33.15;28.4608;30.762;31.604;2.255009167;4.93141125;3.85693853;
53;2017-10-20T15:30:00+02:00;33.35;33.9999;33.2;33.98;28.6308;31.006;31.878;2.312997729;5.21484664;3.957212515;
54;2017-10-23T15:30:00+02:00;34.0;34.0;33.64;33.75;28.7826;31.268;32.159;2.232796802;6.04248412;4.097310801;
55;2017-10-24T15:30:00+02:00;33.93;34.23;33.62;34.11;28.9362;31.523;32.479;2.154524165;3.917828625;3.976118784;
56;2017-10-25T15:30:00+02:00;34.1;34.45;33.555;34.45;29.0962;31.7465;32.846;2.104823895;6.60886191;4.058622459;
57;2017-10-26T15:30:00+02:00;34.52;34.69;34.41;34.63;29.2668;31.982;33.208;2.03271513;3.60449785;3.996323737;
58;2017-10-27T15:30:00+02:00;34.9;36.07;34.53;35.81;29.4602;32.285;33.703;2.186732507;7.8206797;4.24705436;
59;2017-10-30T14:30:00+01:00;35.5;35.73;34.53;34.66;29.6298;32.5105;34.068;2.272736103;6.55332585;4.395388969;
60;2017-10-31T14:30:00+01:00;34.6;34.71;33.96;34.4;29.7946;32.7135;34.238;2.307959596;5.13878211;4.532816714;
61;2017-11-01T14:30:00+01:00;34.73;34.73;33.85;34.23;29.9548;32.889;34.317;2.348570446;3.53121849;4.549186951;exit
62;2017-11-02T14:30:00+01:00;34.18;35.49;34.03;35.24;30.1396;33.065;34.526;2.414075063;6.57530588;4.594403213;
63;2017-11-03T14:30:00+01:00;35.14;35.26;34.72;35.04;30.319;33.255;34.632;2.422929784;4.08105865;4.674803564;
64;2017-11-06T15:30:00+01:00;35.03;35.67;35.015;35.6;30.508;33.488;34.817;2.417723672;3.885059655;4.750883648;
65;2017-11-07T15:30:00+01:00;34.06;37.2899;33.9548;36.21;30.7104;33.753;35.027;2.797575895;8.761067626;5.054576104;
66;2017-11-08T15:30:00+01:00;36.52;37.71;36.37;37.56;30.9392;34.092;35.338;2.887022415;8.85204144;5.337143264;
67;2017-11-09T15:30:00+01:00;37.43;38.73;36.81;38.71;31.1868;34.477;35.746;3.071149007;6.7853805;5.574584444;
68;2017-11-10T15:30:00+01:00;38.34;38.92;38.19;38.22;31.4254;34.845;35.987;3.108263226;9.06921554;5.926259219;
69;2017-11-13T15:30:00+01:00;38.02;38.14;35.17;37.54;31.6528;35.1715;36.275;3.45397578;4.522677175;6.011446339;
70;2017-11-14T15:30:00+01:00;37.35;37.71;35.0275;37.43;31.877;35.408;36.578;3.534489205;3.3145024;5.785839624;
71;2017-11-15T15:30:00+01:00;37.29;38.09;37.08;37.26;32.0846;35.599;36.881;3.556002323;3.471463355;5.634085438;
72;2017-11-16T15:30:00+01:00;37.34;38.03;37.34;37.95;32.3068;35.839;37.152;3.527156514;2.8474786;5.529888806;
73;2017-11-17T15:30:00+01:00;37.91;38.67;37.565;38.44;32.5454;36.062;37.492;3.553768044;4.004853255;5.469389137;
