;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2017-01-19T15:30:00+01:00;2.13;2.15;2.06;2.1;2.0824;2.259;2.21;5.430145398;1.489984255;2.319350954;
1;2017-01-20T15:30:00+01:00;2.1;2.14;2.06;2.12;2.0922;2.2505;2.191;5.351592882;1.2317613;2.294320112;
2;2017-01-23T15:30:00+01:00;2.1;2.14;2.06;2.09;2.1006;2.2395;2.17;5.203604284;0.7638141;2.184384704;
3;2017-01-24T15:30:00+01:00;2.08;2.115;2.04;2.05;2.1058;2.231;2.147;5.115934601;0.724222733;2.147623285;
4;2017-01-25T15:30:00+01:00;2.05;2.111;2.0;2.04;2.1108;2.214;2.126;4.870707328;1.621333179;1.994045827;
5;2017-01-26T15:30:00+01:00;2.03;2.06;1.93;1.98;2.113;2.1955;2.096;4.949984163;2.002902195;1.994391109;
6;2017-01-27T15:30:00+01:00;1.97;1.97;1.83;1.94;2.1134;2.1775;2.07;5.07863469;2.3463879;2.057419628;
7;2017-01-30T15:30:00+01:00;1.95;2.22;1.8701;2.2;2.12;2.1745;2.081;5.857195487;5.220969704;2.239002174;
8;2017-01-31T15:30:00+01:00;2.21;2.23;2.1;2.2;2.1272;2.168;2.086;5.910022868;2.367784725;2.288764051;
9;2017-02-01T15:30:00+01:00;2.2;2.26;2.15;2.23;2.1348;2.164;2.095;5.904967256;1.5715476;2.196105495;
10;2017-02-02T15:30:00+01:00;2.2;2.38;2.1;2.21;2.1402;2.158;2.106;6.418795495;4.80010048;2.282988461;
11;2017-02-03T15:30:00+01:00;2.2;2.28;2.16;2.25;2.1466;2.155;2.119;6.496573273;1.56086646;2.277261644;
12;2017-02-06T15:30:00+01:00;2.26;2.3;2.24;2.25;2.154;2.1525;2.135;6.454290391;1.52911967;2.238321116;
13;2017-02-07T15:30:00+01:00;2.25;2.27;2.16;2.2;2.1588;2.1485;2.15;6.483694795;2.28661538;2.266787886;
14;2017-02-08T15:30:00+01:00;2.2;2.32;2.1599;2.3;2.1642;2.151;2.176;6.69967463;2.110693685;2.275352034;
15;2017-02-09T15:30:00+01:00;2.29;2.34;2.27;2.3;2.1704;2.152;2.208;6.532758735;0.797301805;2.108789525;
16;2017-02-10T15:30:00+01:00;2.32;2.34;2.24;2.28;2.1756;2.156;2.242;6.504831468;1.06699344;2.044805394;
17;2017-02-13T15:30:00+01:00;2.28;2.305;2.26;2.29;2.181;2.166;2.251;6.138702715;0.612114002;1.871968012;
18;2017-02-14T15:30:00+01:00;2.27;2.43;2.26;2.41;2.1906;2.179;2.272;6.087673232;2.71592272;1.914197833;
19;2017-02-15T15:30:00+01:00;2.41;2.67;2.41;2.55;2.201;2.1995;2.304;6.384373872;4.56535536;2.069289535;
20;2017-02-16T15:30:00+01:00;2.52;2.575;2.46;2.54;2.2104;2.2215;2.337;6.399667108;2.62141233;2.125860938;
21;2017-02-17T15:30:00+01:00;2.54;2.58;2.48;2.58;2.2216;2.2445;2.37;6.407105254;2.12832202;2.170688974;
22;2017-02-21T15:30:00+01:00;2.56;2.64;2.4412;2.47;2.2302;2.2635;2.392;6.620107295;3.788146386;2.321905589;
23;2017-02-22T15:30:00+01:00;2.45;2.5;2.35;2.37;2.2376;2.2795;2.409;6.755432701;2.1034353;2.390866217;
24;2017-02-23T15:30:00+01:00;2.36;2.3753;2.3;2.31;2.2432;2.293;2.41;6.641628354;1.022775641;2.36093834;
25;2017-02-24T15:30:00+01:00;2.3;2.43;2.3;2.41;2.2522;2.3145;2.421;6.587449484;1.344211605;2.328003811;
26;2017-02-27T15:30:00+01:00;2.47;2.5;2.37;2.47;2.2608;2.341;2.44;6.479197427;2.325519965;2.326960414;
27;2017-02-28T15:30:00+01:00;2.5;2.54;2.421;2.46;2.2658;2.354;2.457;5.789452169;1.329704272;2.132397142;
28;2017-03-01T15:30:00+01:00;2.49;2.56;2.46;2.51;2.273;2.3695;2.467;5.683180392;2.56191182;2.142103497;
29;2017-03-02T15:30:00+01:00;2.51;2.565;2.48;2.55;2.2802;2.3855;2.467;5.598737406;1.43571619;2.135311927;
30;2017-03-03T15:30:00+01:00;2.55;2.56;2.46;2.5;2.2848;2.4;2.463;5.135322772;1.36638878;1.963626342;
31;2017-03-06T15:30:00+01:00;2.5;2.55;2.43;2.48;2.2886;2.4115;2.453;5.104458575;1.7358039;1.972373214;
32;2017-03-07T15:30:00+01:00;2.48;2.51;2.38;2.45;2.2914;2.4215;2.451;5.243639247;2.93873352;2.042853906;
33;2017-03-08T15:30:00+01:00;2.45;2.48;2.41;2.42;2.2954;2.4325;2.456;5.134237833;2.252874345;2.041166854;
34;2017-03-09T15:30:00+01:00;2.41;2.46;2.36;2.45;2.2968;2.44;2.47;4.97548323;2.19206129;2.045235235;
35;2017-03-10T15:30:00+01:00;2.45;2.47;2.4;2.44;2.2986;2.447;2.473;4.967131541;1.28186679;2.069463484;
36;2017-03-13T14:30:00+01:00;2.43;2.52;2.43;2.49;2.3024;2.4575;2.475;4.92910244;2.918972925;2.162062458;
37;2017-03-14T14:30:00+01:00;2.53;2.74;2.4699;2.59;2.309;2.4725;2.488;5.376328189;6.384865302;2.450700023;
38;2017-03-15T14:30:00+01:00;2.64;2.75;2.56;2.75;2.3174;2.4895;2.512;5.371315744;5.365200105;2.583163892;
39;2017-03-16T14:30:00+01:00;2.78;2.85;2.72;2.82;2.3276;2.503;2.539;5.070867245;4.41772296;2.575782272;
40;2017-03-17T14:30:00+01:00;2.81;2.9;2.77;2.8;2.337;2.516;2.569;5.071784448;5.224794435;2.705951378;
41;2017-03-20T14:30:00+01:00;2.8;2.87;2.78;2.82;2.3472;2.528;2.603;5.032042048;3.007825525;2.749926553;
42;2017-03-21T14:30:00+01:00;2.8;2.85;2.62;2.65;2.3542;2.537;2.623;5.063796547;4.911482915;2.806093379;
43;2017-03-22T14:30:00+01:00;2.62;2.835;2.55;2.8;2.3646;2.5585;2.661;5.303471141;4.369057822;2.919374505;
44;2017-03-23T14:30:00+01:00;2.81;2.84;2.75;2.77;2.375;2.5815;2.693;5.303411852;2.3391914;2.985195293;
45;2017-03-24T14:30:00+01:00;2.79;2.82;2.73;2.76;2.3846;2.599;2.725;5.185638321;2.353369275;3.035653177;
46;2017-03-27T15:30:00+02:00;2.73;2.8;2.72;2.77;2.396;2.614;2.753;5.058435541;2.21619168;3.030186763;
47;2017-03-28T15:30:00+02:00;2.72;2.8;2.72;2.76;2.4094;2.629;2.77;4.959728153;1.82817708;3.055110403;
48;2017-03-29T15:30:00+02:00;2.78;2.8;2.73;2.74;2.4212;2.6405;2.769;4.884681248;2.47287775;3.050658699;
49;2017-03-30T15:30:00+02:00;2.77;2.77;2.69;2.74;2.4332;2.65;2.761;4.862009165;2.00643534;3.079194657;
50;2017-03-31T15:30:00+02:00;2.76;2.95;2.76;2.84;2.448;2.667;2.765;5.002960031;8.01953512;3.411851974;entry
51;2017-04-03T15:30:00+02:00;2.94;2.98;2.81;2.87;2.463;2.6865;2.77;5.058537554;4.66354971;3.558239264;
52;2017-04-04T15:30:00+02:00;2.89;3.04;2.87;2.92;2.4796;2.71;2.797;5.081595558;7.22649978;3.772627577;
53;2017-04-05T15:30:00+02:00;2.99;3.095;2.97;2.97;2.498;2.7375;2.814;5.146805053;6.23461379;3.97171455;
