;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2020-05-21T15:30:00+02:00;21.13;21.53;20.9;21.11;18.9586;20.531;20.786;4.422230807;9.76768301;11.50467936;
1;2020-05-22T15:30:00+02:00;21.03;21.41;20.53;20.76;19.0918;20.583;20.704;4.480626157;7.53525495;11.3913623;
2;2020-05-26T15:30:00+02:00;21.57;21.57;20.895;20.94;19.2152;20.651;20.641;4.483336577;10.92335688;11.1675828;
3;2020-05-27T15:30:00+02:00;21.4;21.84;21.18;21.765;19.3713;20.73575;20.7605;4.458837037;18.88500564;11.49064023;
4;2020-05-28T15:30:00+02:00;21.96;22.17;20.86;20.97;19.4509;20.74625;20.8325;4.558371279;14.55057299;11.49885292;
5;2020-05-29T15:30:00+02:00;20.85;21.66;20.59;21.54;19.5251;20.81125;20.9955;4.598645272;15.16861613;11.64022337;
6;2020-06-01T15:30:00+02:00;21.5;21.55;20.8;20.81;19.5591;20.84075;21.1005;4.615917942;11.06518683;11.83878368;
7;2020-06-02T15:30:00+02:00;20.99;21.92;20.99;21.75;19.6437;20.94225;21.1705;4.549066438;11.69303936;11.851526;
8;2020-06-03T15:30:00+02:00;22.0;22.06;21.02;21.17;19.7259;21.02475;21.1895;4.524096337;12.64212756;11.96992037;
9;2020-06-04T15:30:00+02:00;23.09;23.25;22.2;22.905;19.8194;21.096;21.372;4.420430587;32.17185068;12.35168626;
10;2020-06-05T15:30:00+02:00;23.5;24.12;22.349;22.445;19.8911;21.14575;21.5055;4.493129973;21.43522032;12.72833002;
11;2020-06-08T15:30:00+02:00;22.8;23.55;22.57;23.09;19.9909;21.22125;21.7385;4.520568974;15.47242984;13.03477826;
12;2020-06-09T15:30:00+02:00;22.78;23.585;22.34;23.51;20.1173;21.31825;21.9955;4.57183675;12.33060991;13.155937;
13;2020-06-10T15:30:00+02:00;23.37;23.39;22.5;22.92;20.2171;21.43575;22.111;4.423441929;17.3953158;13.3185569;
14;2020-06-11T15:30:00+02:00;22.0;22.35;20.62;20.87;20.2689;21.46675;22.101;4.605911616;11.3571214;13.51045713;
15;2020-06-12T15:30:00+02:00;21.47;21.86;20.95;21.42;20.3399;21.54225;22.089;4.574003534;14.29854;13.84353664;
16;2020-06-15T15:30:00+02:00;20.64;21.16;20.33;21.14;20.4003;21.61125;22.122;4.647500113;9.80379657;14.04167642;
17;2020-06-16T15:30:00+02:00;21.75;21.99;21.05;21.58;20.4855;21.63775;22.105;4.7131919;10.00660632;13.97990754;
18;2020-06-17T15:30:00+02:00;21.6;21.7;20.9;21.34;20.5393;21.65575;22.122;4.672919229;8.0982387;13.83576809;
19;2020-06-18T15:30:00+02:00;21.11;21.72;21.09;21.5;20.6015;21.67675;21.9815;4.636472354;7.253319705;13.59269463;
20;2020-06-19T15:30:00+02:00;21.8;22.02;21.17;21.61;20.6455;21.70175;21.898;4.686510437;19.77819106;14.09322003;
21;2020-06-22T15:30:00+02:00;21.29;21.56;20.8;21.07;20.6737;21.71725;21.696;4.654882238;8.60357016;14.14663579;
22;2020-06-23T15:30:00+02:00;21.29;21.55;20.88;21.51;20.7365;21.74575;21.496;4.653800956;8.15309422;14.00812266;
23;2020-06-24T15:30:00+02:00;21.38;21.47;21.02;21.2;20.7855;21.7175;21.324;4.605034504;7.1854839;13.42314657;
24;2020-06-25T15:30:00+02:00;21.13;21.19;20.39;21.1;20.8419;21.724;21.347;4.487211017;14.16428937;13.40383239;
25;2020-06-26T15:30:00+02:00;21.0;21.33;20.87;21.01;20.9023;21.6975;21.306;4.337582183;13.8602102;13.33841209;
26;2020-06-29T15:30:00+02:00;21.25;21.48;21.05;21.37;20.9573;21.7255;21.329;4.259431489;9.465285415;13.25841702;
27;2020-06-30T15:30:00+02:00;21.3;22.38;21.27;22.27;21.0277;21.7515;21.398;4.298828313;17.82836235;13.56518317;
28;2020-07-01T15:30:00+02:00;22.45;22.82;21.86;22.17;21.1001;21.8015;21.481;4.271024009;11.91926126;13.52903986;
29;2020-07-02T15:30:00+02:00;22.47;22.965;22.47;22.67;21.1687;21.78975;21.598;4.144684385;11.36579243;12.48873695;
30;2020-07-06T15:30:00+02:00;22.96;23.11;22.59;23.07;21.2419;21.821;21.744;3.863564964;9.31619635;11.88278575;
31;2020-07-07T15:30:00+02:00;22.94;23.72;22.6;23.39;21.3153;21.836;21.976;3.894250226;9.60435936;11.58938222;
32;2020-07-08T15:30:00+02:00;23.31;23.42;22.92;23.2;21.3877;21.8205;22.145;3.724677105;8.52686121;11.39919479;
33;2020-07-09T15:30:00+02:00;23.1;23.4;22.84;23.15;21.4493;21.832;22.34;3.649491272;5.9307424;10.82596612;
34;2020-07-10T15:30:00+02:00;23.16;23.87;23.14;23.79;21.5099;21.978;22.609;3.387731159;8.9478834;10.70550422;
35;2020-07-13T15:30:00+02:00;24.0;24.07;23.61;23.63;21.5777;22.0885;22.871;3.267963737;12.90535488;10.63584496;
36;2020-07-14T15:30:00+02:00;23.48;24.0;23.47;23.9;21.6513;22.2265;23.124;3.17674201;9.03377835;10.59734405;
37;2020-07-15T15:30:00+02:00;24.21;24.355;23.71;24.32;21.7433;22.3635;23.329;3.089482658;14.28753754;10.81139061;
38;2020-07-16T15:30:00+02:00;24.17;24.56;24.02;24.54;21.8437;22.5235;23.566;3.010501426;13.29250818;11.07110409;
39;2020-07-17T15:30:00+02:00;24.53;24.98;24.53;24.78;21.9097;22.6875;23.777;2.952865959;16.61793248;11.53933473;
40;2020-07-20T15:30:00+02:00;24.68;24.89;24.36;24.53;21.9713;22.8335;23.923;2.860895066;8.41963225;10.97140679;
41;2020-07-21T15:30:00+02:00;24.65;24.72;24.13;24.19;22.0235;22.9895;24.003;2.800457213;8.319277125;10.95719213;
42;2020-07-22T15:30:00+02:00;24.2;24.4;23.9777;24.0;22.0721;23.114;24.083;2.72807759;8.90065019;10.99456993;
