;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2018-03-20T14:30:00+01:00;71.34;72.08;70.84;71.37;71.326;73.4655;74.359;2.868233866;285.4436114;533.0884914;
1;2018-03-21T14:30:00+01:00;71.2;72.63;71.11;71.61;71.4256;73.535;74.113;2.859758784;349.9204404;530.8533241;
2;2018-03-22T14:30:00+01:00;70.63;71.625;69.645;69.76;71.497;73.5485;73.408;2.883912021;360.8119149;530.6216515;
3;2018-03-23T14:30:00+01:00;69.86;70.52;68.02;68.04;71.5212;73.347;72.39;2.904334316;373.1172441;528.558506;
4;2018-03-26T15:30:00+02:00;69.43;70.14;68.43;70.08;71.538;73.193;71.712;2.930215123;326.2884233;527.0055175;
5;2018-03-27T15:30:00+02:00;70.67;70.67;65.56;66.29;71.4566;72.877;70.748;3.227053252;499.6143295;536.9325027;
6;2018-03-28T15:30:00+02:00;65.93;66.54;64.45;65.97;71.4018;72.519;69.923;3.262430023;685.3106657;543.5994875;
7;2018-03-29T15:30:00+02:00;66.34;68.01;64.92;67.46;71.3438;72.2915;69.331;3.367585258;777.92723;553.058843;
8;2018-04-02T15:30:00+02:00;66.8;67.23;64.0918;65.09;71.2496;71.8455;68.672;3.357246228;593.6913467;557.5615428;
9;2018-04-03T15:30:00+02:00;65.39;65.86;64.09;65.48;71.1478;71.3645;68.115;3.328712339;466.9347806;557.6426838;
10;2018-04-04T15:30:00+02:00;63.955;66.52;63.52;66.27;71.0472;70.982;67.605;3.385061564;340.161883;543.4502181;
11;2018-04-05T15:30:00+02:00;67.2;67.66;66.15;66.53;70.9468;70.605;67.097;3.40366346;300.3848504;537.0427118;
12;2018-04-06T15:30:00+02:00;65.85;66.36;64.13;64.56;70.8364;69.9925;66.577;3.39700904;300.0693234;518.5666956;
13;2018-04-09T15:30:00+02:00;65.16;66.77;64.96;65.77;70.7354;69.37;66.35;3.415922454;433.9317271;505.7171446;
14;2018-04-10T15:30:00+02:00;66.96;67.05;65.3;66.52;70.6154;68.853;65.994;3.331017832;420.5196917;493.801977;
15;2018-04-11T15:30:00+02:00;65.8;66.77;65.71;65.85;70.4834;68.349;65.95;3.276789704;208.0145318;484.5791777;
16;2018-04-12T15:30:00+02:00;66.25;67.58;65.8;67.22;70.3956;67.999;66.075;3.240940258;307.7703486;455.7692509;
17;2018-04-13T15:30:00+02:00;67.46;67.59;65.29;65.88;70.2306;67.624;65.917;3.335019845;321.7411481;435.341271;
18;2018-04-16T15:30:00+02:00;66.53;66.85;65.76;66.56;70.0948;67.368;66.064;3.258003104;379.1217127;415.9193306;
19;2018-04-17T15:30:00+02:00;67.25;68.52;67.1;68.28;70.032;67.2295;66.344;3.196217559;384.9096996;405.7842452;
20;2018-04-18T15:30:00+02:00;68.75;69.01;67.97;68.69;70.0462;67.0955;66.586;3.185200725;291.5873398;406.0914316;
21;2018-04-19T15:30:00+02:00;68.25;68.72;67.44;67.68;70.0058;66.899;66.701;3.173223225;310.7364547;404.1322323;
22;2018-04-20T15:30:00+02:00;67.44;67.47;65.96;66.3;69.9426;66.726;66.875;3.145537064;317.5258395;401.9679285;
23;2018-04-23T15:30:00+02:00;66.6;67.84;65.965;66.23;69.9506;66.6355;66.921;3.103888406;295.9477581;398.1094542;
24;2018-04-24T15:30:00+02:00;66.62;67.24;64.71;65.34;69.9158;66.3985;66.803;3.174430766;318.3805056;397.7140583;
25;2018-04-25T15:30:00+02:00;65.38;65.76;64.01;64.82;69.8458;66.325;66.7;2.921408816;253.2871623;385.3977;
26;2018-04-26T15:30:00+02:00;65.26;66.695;64.93;66.34;69.812;66.3435;66.612;2.895183223;302.8381273;366.2740731;
27;2018-04-27T15:30:00+02:00;66.69;67.3;65.51;65.79;69.7348;66.26;66.603;2.793818373;315.4041605;343.1479196;
28;2018-04-30T15:30:00+02:00;65.86;66.6;65.28;66.35;69.622;66.323;66.582;2.650100604;333.706976;330.148701;
29;2018-05-01T15:30:00+02:00;66.15;67.99;65.59;67.8;69.5742;66.439;66.534;2.694968258;291.224103;321.3631672;
30;2018-05-02T15:30:00+02:00;67.94;68.89;67.66;68.39;69.5252;66.545;66.504;2.549717817;524.0206614;330.5561061;
31;2018-05-03T15:30:00+02:00;68.49;71.03;64.06;66.82;69.4572;66.5595;66.418;2.979604504;1501.661048;390.619916;
32;2018-05-04T15:30:00+02:00;66.3;69.92;66.0228;69.84;69.4642;66.8235;66.772;3.100879385;772.0645661;414.2196781;
33;2018-05-07T15:30:00+02:00;70.27;70.73;69.6;70.37;69.4302;67.0535;67.186;3.042741044;403.0642458;412.676304;
