;time;open;high;low;close;MA;MA.1;MA.2;ADR;DV M;MA20 DV M;entry/exit
0;2016-01-26T15:30:00+01:00;1.56;1.62;1.535;1.61;1.8932;1.7575;1.58;6.946906984;20.02623788;18.57148312;
1;2016-01-27T15:30:00+01:00;1.59;1.67;1.55;1.66;1.8912;1.746;1.567;7.094642056;24.15951349;19.3294091;
2;2016-01-28T15:30:00+01:00;1.66;1.68;1.59;1.61;1.8868;1.731;1.545;7.218086456;17.43592776;19.68407785;
3;2016-01-29T15:30:00+01:00;1.65;1.75;1.63;1.7;1.8824;1.7225;1.547;7.451776014;24.28688691;20.45353195;
4;2016-02-01T15:30:00+01:00;1.75;1.84;1.74;1.83;1.8836;1.721;1.575;7.546824643;24.82114061;21.1206773;
5;2016-02-02T15:30:00+01:00;1.83;1.85;1.8;1.8;1.8816;1.715;1.614;7.44635183;21.87505043;21.20908172;
6;2016-02-03T15:30:00+01:00;1.86;2.04;1.84;2.02;1.8838;1.7195;1.669;7.832762028;41.96023478;22.69845484;
7;2016-02-04T15:30:00+01:00;2.15;2.25;2.13;2.2;1.8914;1.7295;1.744;7.859350128;38.27542935;23.56748378;
8;2016-02-05T15:30:00+01:00;2.09;2.3201;2.04;2.29;1.9004;1.739;1.822;8.143859686;42.74442347;24.24595174;
9;2016-02-08T15:30:00+01:00;2.41;2.71;2.4;2.54;1.9098;1.766;1.926;8.47881219;87.64913192;27.62108884;
10;2016-02-09T15:30:00+01:00;2.58;2.61;2.35;2.36;1.9154;1.7905;2.001;8.48255313;61.9216444;29.60735999;
11;2016-02-10T15:30:00+01:00;2.29;2.45;2.16;2.44;1.9244;1.823;2.079;8.839563712;42.3843377;30.81388792;
12;2016-02-11T15:30:00+01:00;2.715;2.75;2.55;2.64;1.9352;1.8635;2.182;8.949234699;91.4346089;34.63047543;
13;2016-02-12T15:30:00+01:00;2.53;2.7;2.51;2.68;1.9436;1.9135;2.28;8.769025102;34.47995714;34.52369267;
14;2016-02-16T15:30:00+01:00;2.53;2.66;2.44;2.48;1.9492;1.96;2.345;8.54242542;51.4231827;35.82594717;
15;2016-02-17T15:30:00+01:00;2.5;2.54;2.42;2.5;1.955;2.0145;2.415;8.138185391;44.4148284;36.3925691;
16;2016-02-18T15:30:00+01:00;2.42;2.75;2.4;2.68;1.9612;2.075;2.481;8.564860954;56.67510883;38.37477115;
17;2016-02-19T15:30:00+01:00;2.71;2.81;2.64;2.69;1.972;2.137;2.53;8.56540208;42.41797403;40.02556056;
18;2016-02-22T15:30:00+01:00;2.58;2.7;2.57;2.66;1.9834;2.1945;2.567;8.433704983;32.72887651;40.93037733;
19;2016-02-23T15:30:00+01:00;2.72;2.81;2.69;2.73;1.996;2.256;2.586;8.119840559;38.025273;41.95698841;
20;2016-02-24T15:30:00+01:00;2.85;2.86;2.69;2.75;2.009;2.313;2.625;8.158952725;64.80933135;44.19614308;
21;2016-02-25T15:30:00+01:00;2.75;2.8;2.67;2.77;2.0224;2.3685;2.658;8.015301643;29.32924565;44.45462969;
22;2016-02-26T15:30:00+01:00;2.68;2.8;2.64;2.71;2.0378;2.4235;2.665;8.035313078;41.07011232;45.63633892;
23;2016-02-29T15:30:00+01:00;2.74;2.87;2.73;2.84;2.0576;2.4805;2.681;7.923625175;27.4484644;45.79441779;
24;2016-03-01T15:30:00+01:00;2.89;2.92;2.69;2.73;2.0734;2.5255;2.706;8.063778147;42.8236545;46.69454349;
25;2016-03-02T15:30:00+01:00;2.73;2.845;2.67;2.81;2.0936;2.576;2.737;8.252604614;29.30006718;47.06579433;
26;2016-03-03T15:30:00+01:00;2.82;3.06;2.8;3.03;2.118;2.6265;2.772;8.173412068;51.87448386;47.56150678;
27;2016-03-04T15:30:00+01:00;3.08;3.28;3.01;3.09;2.142;2.671;2.812;8.34022691;72.5956859;49.27751961;
28;2016-03-07T15:30:00+01:00;3.12;3.3;3.12;3.26;2.1706;2.7195;2.872;7.942168841;52.43313189;49.76195503;
29;2016-03-08T15:30:00+01:00;3.33;3.35;3.11;3.12;2.1952;2.7485;2.911;7.682187597;55.09199112;48.13409799;
30;2016-03-09T15:30:00+01:00;3.04;3.14;2.93;3.07;2.2168;2.784;2.943;7.487357883;42.59015804;47.16752367;
31;2016-03-10T15:30:00+01:00;3.12;3.2;3.05;3.18;2.2426;2.821;2.984;7.061963226;52.30899063;47.66375632;
32;2016-03-11T15:30:00+01:00;3.19;3.25;3.11;3.11;2.2666;2.8445;3.024;6.894886749;37.33497126;44.95877444;
33;2016-03-14T14:30:00+01:00;3.15;3.22;2.95;3.0;2.2892;2.8605;3.04;6.974027812;51.54588909;45.81207103;
34;2016-03-15T14:30:00+01:00;2.98;2.98;2.81;2.98;2.3116;2.8855;3.065;6.825699243;46.1702706;45.54942543;
35;2016-03-16T14:30:00+01:00;2.94;3.19;2.81;3.19;2.337;2.92;3.103;7.253921942;73.625265;47.00994726;
36;2016-03-17T14:30:00+01:00;3.25;3.3;3.09;3.09;2.3602;2.9405;3.109;6.864561101;63.28960483;47.34067206;
37;2016-03-18T14:30:00+01:00;3.09;3.2;3.05;3.09;2.382;2.9605;3.109;6.788493043;70.58361875;48.74895429;
38;2016-03-21T14:30:00+01:00;3.05;3.17;3.04;3.13;2.4026;2.984;3.096;6.749390545;29.00968277;48.56299461;
39;2016-03-22T14:30:00+01:00;3.22;3.26;3.14;3.18;2.4262;3.0065;3.102;6.71742502;33.3181632;48.32763912;
40;2016-03-23T14:30:00+01:00;3.05;3.06;2.86;2.89;2.4466;3.0135;3.084;6.75109024;49.97299624;47.58582236;
41;2016-03-24T14:30:00+01:00;2.92;2.95;2.87;2.92;2.4692;3.021;3.058;6.647017369;21.90031371;47.21437576;
42;2016-03-28T15:30:00+02:00;2.95;2.96;2.83;2.9;2.4906;3.0305;3.037;6.573669045;22.72878975;46.29730964;
43;2016-03-29T15:30:00+02:00;2.92;3.15;2.87;3.1;2.519;3.0435;3.047;6.805063666;41.73568476;47.01167065;
